	SRR7359524	SRR7359523	SRR7359522	SRR7359521	SRR7359528	SRR7359527	SRR7359526	SRR7359525
peak_1	0	0	0	0	0	0.776145176973932	0	0
peak_10	0	0	0	0	0	0.776145176973932	0	0
peak_100	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_1000	0	0	0	0	0	0	1.43518888788449	0
peak_10000	0	0	0	0	0	0.776145176973932	0	0
peak_100000	0	0	0	0	0	0	1.43518888788449	0
peak_100001	0	0	0	0	1.84229574786345	0	0.717594443942245	0
peak_100002	0	0	0	0	2.76344362179517	0	0	0
peak_100003	0	0	0	0	0	0.776145176973932	0	0
peak_100004	0	0	0	0	0	0.776145176973932	0	0
peak_100005	0	0	0	0	0	0.776145176973932	0	0
peak_100006	0	0	0	0	0.921147873931724	0	0	0.659955311222994
peak_100007	0	0	0	0	0	0	0	0.659955311222994
peak_100008	0	0	0	0	0	0.776145176973932	0	0
peak_100009	0	0	0	0	0	0	0	1.31991062244599
peak_10001	0	0	0	0	0.921147873931724	0.776145176973932	0	0
peak_100010	0	0	0	0	0.921147873931724	0	0	0.659955311222994
peak_100011	0	0	0	0	1.84229574786345	0	0	0
peak_100012	0	0	0	0	0	1.55229035394786	0	0
peak_100013	0	0	0	0	0	0.776145176973932	0	0
peak_100014	0	0	0	0	0	0	0	1.31991062244599
peak_100015	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100016	0	0	0	0	0	0.776145176973932	0	0
peak_100017	0	0	0	0	2.76344362179517	0	0	0
peak_100018	0	0	0	0	0	0	0	0.659955311222994
peak_100019	0	0	0	0	0	0.776145176973932	0	0
peak_10002	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100020	0	0	0	1.4580111421633	0	0.776145176973932	0	0
peak_100021	0	0	0	0	0.921147873931724	0	0	0.659955311222994
peak_100022	0	0	0	0	3.6845914957269	0	0	0
peak_100023	0	0	0	0	0	0.776145176973932	0	0
peak_100024	0	0	0	0	1.84229574786345	0.776145176973932	0	0
peak_100025	0	0	0	2.91602228432661	2.76344362179517	0	0	0
peak_100026	0	0	0	1.4580111421633	0	1.55229035394786	0.717594443942245	0
peak_100027	0	0	0	0	0	0	0.717594443942245	0
peak_100028	0	0	0	0	4.60573936965862	0	0	0
peak_100029	0	0	0	0	1.84229574786345	0	0	0
peak_10003	0	0	0	0	0	0.776145176973932	0	0
peak_100030	0	0	0	0	2.76344362179517	0	0	0
peak_100031	0	0	0	0	0	0	0	0
peak_100032	0	0	0	0	0	0	0	0
peak_100033	0	0	0	0	0	0	0.717594443942245	0
peak_100034	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100035	0	0	0	0	0	1.55229035394786	0	0
peak_100036	0	0	0	0	0	0	0	0.659955311222994
peak_100037	0	0	0	0	1.84229574786345	0	0.717594443942245	0
peak_100038	0	0	0	0	2.76344362179517	0	0.717594443942245	0
peak_100039	0	0	0	0	0	0	0	0.659955311222994
peak_10004	0	0	0	0	0	0.776145176973932	0	0
peak_100040	0	0	0	0	0.921147873931724	0	0	0
peak_100041	0	0	0	0	0	0	0	0
peak_100042	0	0	0	0	0.921147873931724	0	0.717594443942245	0
peak_100043	0	0	0	0	0	0	0	0
peak_100044	0	0	0	1.4580111421633	0	0	0.717594443942245	0
peak_100045	0	0	0	0	0	0	0.717594443942245	0
peak_100046	0	0	0	0	0	0	0.717594443942245	0
peak_100047	0	0	0	2.91602228432661	0	0	1.43518888788449	0
