	SRR7359508.tabular	SRR7359507.tabular	SRR7359506.tabular	SRR7359505.tabular	SRR7359512.tabular	SRR7359511.tabular	SRR7359510.tabular	SRR7359509.tabular
0610005C13Rik	1.1077133900761	0	2.87334366816922	4.75995524035765	2.04555509015738	0.945481514152946	0	3.03386158453016
0610006L08Rik	7.75399373053269	2.19742022684771	6.70446855906151	9.5199104807153	13.2961080860229	6.61837059907062	4.24532429402657	1.01128719484339
0610009B22Rik	343.39115092359	409.818872307097	339.054552843968	332.244875776964	366.15436113817	329.027566925225	275.097014252922	346.871507831282
0610009E02Rik	109.663625617534	72.5148674859743	110.144840613153	66.6393733650071	75.6855383358229	117.239707754965	161.32232317301	73.8239652235673
0610009L18Rik	24.3696945816742	25.2703326087486	22.0289681226307	33.3196866825036	5.11388772539344	19.8551117972119	27.1700754817701	7.07901036390371
0610010F05Rik	1605.07670222027	1729.36971852914	2076.46969086362	1885.8942662297	1908.50289911683	2184.06229769331	1892.56557027705	1944.70527568383
0610010K14Rik	0	0	0	0	0	0	0	0
0610012D04Rik	0	0	0	0	0	0	0	0
0610012G03Rik	108.555912227458	57.1329258980403	96.7359034950303	73.3033107015078	51.1388772539344	59.5653353916356	51.7929563871242	56.6320829112297
0610025J13Rik	0	1.09871011342385	0	0	0	2.83644454245884	0	0
0610030E20Rik	934.910101224227	997.628782988858	1239.36890220366	966.270913792603	1007.43588190251	889.698104817922	1050.29323034217	989.038876556833
0610031O16Rik	0	0	0	0	0	0	0	0
0610033M10Rik	0	0	0	0	0	0	0	0
0610038B21Rik	38.7699686526634	32.9613034027156	36.3956864634768	28.5597314421459	31.7061038974393	17.018667254753	33.9625943522126	57.6433701060731
0610039K10Rik	3.32314017022829	3.29613034027156	2.87334366816922	8.56791943264377	4.09111018031475	0	5.09438915283189	0
0610040B10Rik	23.2619811915981	16.4806517013578	19.1556244544615	13.3278746730014	19.4327733564951	10.4002966556824	3.39625943522126	11.1241591432773
0610040F04Rik	14.4002740709893	20.8754921550532	22.9867493453537	4.75995524035765	39.8883242580688	30.2554084528943	22.0756863289382	3.03386158453016
0610040J01Rik	65.3550900144898	40.6522741966826	70.8758104815074	31.4157045863605	149.325521581488	101.166522014365	117.170950515133	102.140006679182
0610043K17Rik	157.295301390806	201.063950756565	116.849309172215	207.534048479594	205.578286560816	124.803559868189	331.135294934073	203.268726163521
0710001A04Rik	0	0	0	0	0	0	0	0
1010001B22Rik	2.2154267801522	2.19742022684771	0	1.90398209614306	1.02277754507869	3.78192605661178	4.24532429402657	3.03386158453016
1100001I12Rik	0	3.29613034027156	0	10.4719015287868	7.15944281555082	1.89096302830589	0	0
1110002E22Rik	11.077133900761	18.6780719282055	5.74668733633844	3.80796419228612	5.11388772539344	3.78192605661178	16.9812971761063	2.02257438968677
1110002J07Rik	2.2154267801522	1.09871011342385	0	0	2.04555509015738	1.89096302830589	0.849064858805314	0
1110002L01Rik	414.284807888461	329.613034027156	530.610797388582	498.843309189482	405.01990785116	392.374828373473	599.439790316552	440.921216951717
1110002O04Rik	0	0	0	0	0	0	0	0
1110003F10Rik	0	0	0	0	0	0	0	0
1110004F10Rik	1215.16158891348	1100.9075336507	1169.45087294487	1182.37288170484	1131.19196485703	1062.72122190791	1131.80345678748	1194.33017711004
1110006O24Rik	15.5079874610654	10.9871011342385	13.408937118123	4.75995524035765	5.11388772539344	4.72740757076473	2.54719457641594	2.02257438968677
1110008E08Rik	0	0	0	0	0	0	0	0
1110008P14Rik	3.32314017022829	8.78968090739082	7.66224978178458	1.90398209614306	4.09111018031475	3.78192605661178	0	3.03386158453016
1110012L19Rik	45.41624899312	30.7638831758679	39.269030131646	82.8232211822231	36.8199916228328	42.5466681368826	48.3966969519029	65.7336676648202
1110013H19Rik	1.1077133900761	0	0.957781222723073	0	0	0	0	2.02257438968677
1110015O18Rik	3.32314017022829	0	1.91556244544615	0	1.02277754507869	0	0	1.01128719484339
1110017D15Rik	2.2154267801522	5.49355056711926	0	37.1276508747897	3.06833263523606	0	10.1887783056638	3.03386158453016
1110018N20Rik	0	0	0	0	0	0	0	0
1110019B22Rik	0	0	0	0	0	0	0	0
1110019D14Rik	417.607948058689	692.187371457027	722.167041933197	590.234449804349	580.937645604695	778.131286147875	912.744723215713	681.607569324443
